,target,prediction,accent,modality
0,3,5,4,1
1,2,2,4,1
2,5,5,4,1
3,4,4,4,1
4,2,2,4,1
5,3,3,4,1
6,6,6,4,1
7,0,0,4,1
8,0,0,4,1
9,5,5,4,1
10,2,2,4,1
11,4,4,4,1
12,6,6,4,1
13,5,5,4,1
14,0,0,4,1
15,5,5,4,1
16,5,5,4,1
17,5,5,4,1
18,5,5,4,1
19,5,5,4,1
20,2,2,4,1
21,2,2,4,1
22,6,6,4,1
23,4,4,4,1
24,2,2,4,1
25,2,2,4,1
26,6,6,4,1
27,4,4,4,1
28,4,4,4,1
29,2,2,4,1
30,2,5,4,1
31,4,4,4,1
32,5,3,4,1
33,5,5,4,1
34,3,3,4,1
35,5,3,4,1
36,0,0,4,1
37,5,5,4,1
38,2,2,4,1
39,6,6,4,1
40,2,2,4,1
41,5,5,4,1
42,4,4,4,1
43,0,0,4,1
44,6,6,4,1
45,3,3,4,1
46,2,2,4,1
47,3,6,4,1
48,2,2,4,1
49,2,2,4,1
50,3,3,4,1
51,0,0,4,1
52,6,6,4,1
53,5,5,4,1
54,4,4,4,1
55,2,2,4,1
56,6,6,4,1
57,3,3,4,1
58,6,6,4,1
59,6,6,4,1
60,0,0,4,1
61,3,3,4,1
62,3,3,4,1
63,3,3,4,1
64,0,0,4,1
65,4,4,4,1
66,2,2,4,1
67,2,2,4,1
68,4,4,4,1
69,6,6,4,1
70,2,2,4,1
71,0,0,4,1
72,3,3,4,1
73,5,3,4,1
74,4,4,4,1
75,3,3,4,1
76,5,5,4,1
77,2,2,4,1
78,0,0,4,1
79,6,6,4,1
80,6,6,4,1
81,3,3,4,1
82,6,6,4,1
83,4,4,4,1
84,2,2,4,1
85,5,5,4,1
86,3,3,4,1
87,2,2,4,1
88,3,5,4,1
89,5,5,4,1
90,4,4,4,1
91,5,5,4,1
92,4,4,4,1
93,3,3,4,1
94,5,5,4,1
95,4,4,4,1
96,4,4,4,1
97,5,5,4,1
98,4,4,4,1
99,2,2,4,1
100,6,6,4,1
101,5,5,4,1
102,0,0,4,1
103,0,0,4,1
104,6,6,4,1
105,0,0,4,1
106,3,6,4,1
107,2,2,4,1
108,6,6,4,1
109,0,0,4,1
110,3,3,4,1
111,4,4,4,1
112,6,6,4,1
113,2,2,4,1
114,0,0,4,1
115,3,3,4,1
116,6,6,4,1
117,0,0,4,1
118,2,2,4,1
119,2,2,4,1
120,3,5,4,1
121,0,0,4,1
122,0,0,4,1
123,4,4,4,1
124,5,5,4,1
125,2,2,4,1
126,4,4,4,1
127,6,6,4,1
128,5,5,4,1
129,5,5,4,1
130,6,6,4,1
131,4,4,4,1
132,0,0,4,1
133,4,4,4,1
134,6,6,4,1
135,4,4,4,1
136,2,2,4,1
137,4,4,4,1
138,3,3,4,1
139,6,6,4,1
140,3,3,4,1
141,6,6,4,1
142,4,4,4,1
143,2,2,4,1
